,Unnamed: 0,lesson_name,question_name,answer_choice_1,answer_choice_2,answer_choice_3,answer_choice_4,correct_answer,image_path,image_has_labels_to_guess,caption,blip_2_generated_answers,mapped_predictions
0,0,climate and its causes,Which label refers to rains?,V,T,U,E,E,../Dataset/test/abc_question_images/rain_shadow_17524.png,Yes,a diagram of the water cycle,d,E
1,1,climate and its causes,How does water from the clouds reach the land again?,ICE FROM THE MOUNTAIN PEAK,AS RAIN,WIND,GRASS,AS RAIN,../Dataset/test/abc_question_images/rain_shadow_17524.png,Yes,a diagram of the water cycle,b,AS RAIN
2,2,climate and its causes,What letter represents the condensation process?,W,J,H,T,T,../Dataset/test/abc_question_images/rain_shadow_17525.png,Yes,a diagram of the water cycle,c,H
3,3,climate and its causes,Where can you find moist air?,W,A,H,J,J,../Dataset/test/abc_question_images/rain_shadow_17525.png,Yes,a diagram of the water cycle,a,W
4,4,climate and its causes,Where is condensation?,T,H,A,W,T,../Dataset/test/abc_question_images/rain_shadow_17525.png,Yes,a diagram of the water cycle,b,H
5,5,climate and its causes,Which of the letter in the diagram represents transpiration?,J,W,T,H,J,../Dataset/test/abc_question_images/rain_shadow_17525.png,Yes,a diagram of the water cycle,d,H
6,6,climate and its causes,Identify rain shadow,D,X,Y,L,Y,../Dataset/test/abc_question_images/rain_shadow_17534.png,Yes,a diagram of a mountain with arrows pointing up to the letter xd,a,D
7,7,climate and its causes,What is the step after precipitation?,Y,X,L,D,Y,../Dataset/test/abc_question_images/rain_shadow_17534.png,Yes,a diagram of a mountain with arrows pointing up to the letter xd,d,D
8,8,climate and its causes,The air becomes drier in this step. Which?,V,X,D,Y,Y,../Dataset/test/abc_question_images/rain_shadow_17534.png,Yes,a diagram of a mountain with arrows pointing up to the letter xd,b,X
9,9,climate and its causes,Identify the rain shadow.,D,J,M,F,D,../Dataset/test/abc_question_images/rain_shadow_17535.png,Yes,a diagram of a mountain with a rain and a cloud,a,D
10,10,climate and its causes,Which label refers to the rain shadow?,F,D,J,M,D,../Dataset/test/abc_question_images/rain_shadow_17535.png,Yes,a diagram of a mountain with a rain and a cloud,d,M
11,11,climate and its causes,Which letter represents rainfall?,J,M,D,F,F,../Dataset/test/abc_question_images/rain_shadow_17535.png,Yes,a diagram of a mountain with a rain and a cloud,d,F
12,12,climate and its causes,What takes the water from the ocean?,RAIN SHADOW,RAINFALL,SOIL,PREVAILING WIND,PREVAILING WIND,../Dataset/test/abc_question_images/rain_shadow_17535.png,Yes,a diagram of a mountain with a rain and a cloud,d,PREVAILING WIND
13,13,climate and its causes,Which represents the rain shadow?,F,M,J,D,D,../Dataset/test/abc_question_images/rain_shadow_17535.png,Yes,a diagram of a mountain with a rain and a cloud,d,D
14,14,climate and its causes,Which label represents the rain shadow?,N,R,S,E,E,../Dataset/test/abc_question_images/rain_shadow_17536.png,Yes,a diagram of a mountain with water flowing down it,c,S
15,15,climate and its causes,Which letter represents the Rain Shadow in this diagram?,R,H,E,S,E,../Dataset/test/abc_question_images/rain_shadow_17536.png,Yes,a diagram of a mountain with water flowing down it,d,S
16,16,climate and its causes,Which represents the rising air cooling and condensing?,E,S,R,H,R,../Dataset/test/abc_question_images/rain_shadow_17536.png,Yes,a diagram of a mountain with water flowing down it,d,H
17,17,climate and its causes,Which letter indicates the effect of cool air sinking and warming?,C,F,S,N,S,../Dataset/test/abc_question_images/rain_shadow_17537.png,Yes,arafed image of a mountain with letters and a rain,d,N
18,18,climate and its causes,What flows to the Atacama desert over the Andes?,rain,condensation,moist air,dry air,dry air,../Dataset/test/question_images/rain_shadow_7525.png,No,a diagram of the water cycle,d,dry air
19,19,climate and its causes,Moist air comes from what area in the diagram?,Atacama desert,The Andes slopes,Clouds,Forest,Forest,../Dataset/test/question_images/rain_shadow_7525.png,No,a diagram of the water cycle,c,Clouds
20,20,climate and its causes,How many arrows are in the diagram?,3,4,2,6,6,../Dataset/test/question_images/rain_shadow_7525.png,No,a diagram of the water cycle,a,3
21,21,climate and its causes,What happens after condensation?,evaporation,collection,It is the last stage,precipitation,precipitation,../Dataset/test/question_images/rain_shadow_7525.png,No,a diagram of the water cycle,d,precipitation
22,22,climate and its causes,What would happen to the moist air if the mountains were not present?,Rainfall would decrease,It would evaporate in the desert,Rainfall would stay the same,Rainfall would increase,Rainfall would decrease,../Dataset/test/question_images/rain_shadow_7525.png,No,a diagram of the water cycle,b,It would evaporate in the desert
23,23,climate and its causes,What is the last step in the orographic precipitation?,prevailing winds,rain shadow,evaporation,warm ocean,rain shadow,../Dataset/test/question_images/rain_shadow_7529.png,No,a diagram of a mountain with a few different types of water,d,warm ocean
24,24,climate and its causes,Which of the following determines the type of air mass that moves over an area?,Warm ocean,Evaporation,Rain shadow,Prevailing winds,Prevailing winds,../Dataset/test/question_images/rain_shadow_7529.png,No,a diagram of a mountain with a few different types of water,d,Prevailing winds
25,25,climate and its causes,How can mountains protect certain land areas from rain?,by causing evaporation,by creating orographic precipitation,by forming rain shadow,by strengthening prevailing winds,by forming rain shadow,../Dataset/test/question_images/rain_shadow_7529.png,No,a diagram of a mountain with a few different types of water,c.,by forming rain shadow
26,26,climate and its causes,How many elements make up the rain shadow?,5,4,2,3,5,../Dataset/test/question_images/rain_shadow_7529.png,No,a diagram of a mountain with a few different types of water,d,3
27,27,climate and its causes,How do mountains form rain shadows?,"Prevailing winds rising on one side of a mountain are cooled and precipitation forms. Rain falls on that side, leaving the other side dry.",The mountain heats the air and dries the rain.,Snow on top of the mountain freezes rain.,The mountain disperses clouds and dries up the rain.,"Prevailing winds rising on one side of a mountain are cooled and precipitation forms. Rain falls on that side, leaving the other side dry.",../Dataset/test/question_images/rain_shadow_7529.png,No,a diagram of a mountain with a few different types of water,a,"Prevailing winds rising on one side of a mountain are cooled and precipitation forms. Rain falls on that side, leaving the other side dry."
28,28,climate and its causes,What role does the mountain play in creating a rain shadow?,It tears apart clouds.,It cools the moist rising air and turns it into rain.,It warms rising air and produces strong prevailing winds.,It sucks the air out of the atmosphere.,It cools the moist rising air and turns it into rain.,../Dataset/test/question_images/rain_shadow_7530.png,No,a diagram of the different types of rain in the mountains,c,It warms rising air and produces strong prevailing winds.
29,29,climate and its causes,"To which side of the Himalaya does the warm, moist air travel?",North,Towards Nepal/Bhutan,Downward,Towards Tibet/Ladakh,Towards Tibet/Ladakh,../Dataset/test/question_images/rain_shadow_7530.png,No,a diagram of the different types of rain in the mountains,b,Towards Nepal/Bhutan
30,30,climate and its causes,What happens to moist air after it is blown upwards a mountain?,Dry air comes downwart on the opposite side of the mountain,Moist Air becomes rain,Moist air is absorbed by the mountain,Moist Air returns to the sea,Dry air comes downwart on the opposite side of the mountain,../Dataset/test/question_images/rain_shadow_7532.png,No,a diagram of a mountain with a few different types of water,b,Moist Air becomes rain
31,31,climate and its causes,How many stages are there in the process?,1,4,2,3,3,../Dataset/test/question_images/rain_shadow_7532.png,No,a diagram of a mountain with a few different types of water,d,3
32,32,climate and its causes,"In the diagram, how many slopes does the mountain have?",3,4,2,1,2,../Dataset/test/question_images/rain_shadow_7532.png,No,a diagram of a mountain with a few different types of water,a,3
33,33,climate and its causes,The dry leeward slope sits in what area in the diagram?,eye of the storm,windward slope,rain shadow,central air rising,rain shadow,../Dataset/test/question_images/rain_shadow_7532.png,No,a diagram of a mountain with a few different types of water,c,rain shadow
